PID,CG Number,Gene Name,FBgn Number,GO Biofunction
1634593_at,CG40228,CG40228,FBgn0063670,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation"
1634594_at,CG17738,CG17738,FBgn0038009,---
1634595_at,CG10934,CG10934,FBgn0034263,---
1634596_at,HDC08792,---,---,---
1634597_a_at,CG33970,CG33970,FBgn0053970,0006810 // transport // inferred from sequence or structural similarity /// 0006810 // transport // inferred from electronic annotation
1634598_a_at,CG1599,CG1599,FBgn0033452,0006810 // transport // inferred from electronic annotation /// 0006886 // intracellular protein transport // inferred by curator /// 0016192 // vesicle-mediated transport // inferred from electronic annotation
1634599_s_at,CG6998,ctp,FBgn0011760,0007017 // microtubule-based process // inferred from electronic annotation /// 0007018 // microtubule-based movement // inferred from sequence or structural similarity /// 0007283 // spermatogenesis // inferred from mutant phenotype /// 0007290 // spermatid nucleus elongation // inferred from mutant phenotype /// 0007291 // sperm individualization // inferred from mutant phenotype /// 0007476 // imaginal disc-derived wing morphogenesis // inferred from mutant phenotype /// 0008407 // bristle morphogenesis // inferred from mutant phenotype /// 0022416 // bristle development // inferred from mutant phenotype /// 0035220 // wing disc development // inferred from mutant phenotype /// 0048477 // oogenesis // inferred from mutant phenotype /// 0051017 // actin filament bundle formation // inferred from mutant phenotype
1634600_at,CG5347,CG5347,FBgn0030578,---
1634601_at,CG9684,CG9684,FBgn0037583,---
1634602_at,Dm.3R.48151.0,---,---,---
1634603_at,HDC10981,---,---,---
1634604_at,CG9900,mit(1)15,FBgn0004643,0000070 // mitotic sister chromatid segregation // inferred from mutant phenotype /// 0007049 // cell cycle // inferred from mutant phenotype /// 0007049 // cell cycle // inferred from electronic annotation /// 0007059 // chromosome segregation // non-traceable author statement /// 0007067 // mitosis // inferred from electronic annotation /// 0007094 // mitotic cell cycle spindle assembly checkpoint // non-traceable author statement /// 0007094 // mitotic cell cycle spindle assembly checkpoint // traceable author statement /// 0007126 // meiosis // inferred from electronic annotation /// 0007133 // meiotic anaphase I // non-traceable author statement /// 0040020 // regulation of meiosis // non-traceable author statement /// 0051301 // cell division // inferred from electronic annotation
1634605_at,CG15663,Rgk3,FBgn0085426,0007264 // small GTPase mediated signal transduction // inferred from electronic annotation
1634606_a_at,CG9535,mmy,FBgn0086705,0008152 // metabolic process // inferred from electronic annotation
1634607_at,CG14160,CG14160,FBgn0036066,---
1634608_at,CG30383,CG30383,FBgn0050383,---
1634609_at,CG31111,CG31111,FBgn0051111,---
1634610_at,GH04518,---,FBgn0053963,0016246 // RNA interference // inferred from mutant phenotype
1634611_at,CG34370,CG34370,FBgn0085399,---
1634612_a_at,CG14310,CG14310,FBgn0040569,---
1634613_s_at,CG40002,CG40002,FBgn0058002,---
1634614_at,CG3095,hfw,FBgn0001189,0007242 // intracellular signaling cascade // inferred from mutant phenotype /// 0035073 // pupariation // inferred from mutant phenotype /// 0035075 // response to ecdysone // inferred from mutant phenotype
1634615_at,CG8509,CG8509,FBgn0030696,---
1634616_at,CG1276,TfIIEbeta,FBgn0015829,0006367 // transcription initiation from RNA polymerase II promoter // inferred from sequence or structural similarity /// 0006367 // transcription initiation from RNA polymerase II promoter // inferred from electronic annotation
1634617_at,HDC09080,ImpE1,FBgn0001253,0007561 // imaginal disc eversion // traceable author statement
1634618_at,HDC14523,---,---,---
1634619_at,CG4026,IP3K1,FBgn0032147,0006979 // response to oxidative stress // inferred from mutant phenotype
1634620_a_at,CG3622,stl,FBgn0086408,0006508 // proteolysis // inferred from electronic annotation /// 0030713 // ovarian follicle cell stalk formation // inferred from mutant phenotype /// 0030713 // ovarian follicle cell stalk formation // traceable author statement /// 0048477 // oogenesis // inferred from mutant phenotype
1634621_at,CG13599,CG13599,FBgn0039128,---
1634622_at,HDC10684,---,---,---
1634623_a_at,CG8687,Cyp6a14,FBgn0033302,0055114 // oxidation reduction // inferred from electronic annotation
1634624_at,CG16719,CG16719,FBgn0036029,0007498 // mesoderm development // non-traceable author statement
1634625_at,CG6627,Dnz1,FBgn0027453,---
1634626_at,CG34431,CG34431,FBgn0085460,---
1634627_at,CG40311,CG40311,FBgn0058311,---
1634628_at,CG30392,CG30392,FBgn0050392,0046836 // glycolipid transport // inferred from electronic annotation
1634629_at,CG13359,CG13359,FBgn0025616,---
1634630_at,CG5707,CG5707,FBgn0026593,---
1634631_at,CG3105,CG3105,FBgn0034950,0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0006468 // protein amino acid phosphorylation // non-traceable author statement /// 0007165 // signal transduction // inferred from electronic annotation
1634632_at,CG14416,CG14416,FBgn0040352,---
1634633_s_at,Transposon.54,---,---,---
1634634_at,S.C2R001829,---,---,---
1634635_at,HDC10778,---,---,---
1634636_at,CG6426,CG6426,FBgn0034162,---
1634637_a_at,CG4584,CG4584,FBgn0013349,0046080 // dUTP metabolic process // inferred from electronic annotation
1634638_at,CG9025,Fem-1,FBgn0034542,0006511 // ubiquitin-dependent protein catabolic process // inferred from electronic annotation /// 0051438 // regulation of ubiquitin-protein ligase activity // inferred from sequence or structural similarity
1634639_at,Dm.2L.6290.0,---,---,---
1634640_at,CG14032,Cyp4ac1,FBgn0031693,0042445 // hormone metabolic process // non-traceable author statement /// 0046701 // insecticide catabolic process // non-traceable author statement /// 0055114 // oxidation reduction // inferred from electronic annotation
1634641_a_at,CG2140,Cyt-b5,FBgn0033189,0006810 // transport // inferred from electronic annotation /// 0022900 // electron transport chain // inferred from electronic annotation
1634642_at,HDC02777,---,---,---
1634643_at,CG12303,CG12303,FBgn0036083,0006810 // transport // inferred from electronic annotation
1634644_at,HDC00784,---,---,---
1634645_at,CG31245,CG31245,FBgn0051245,---
1634646_at,HDC00773,---,---,---
1634647_at,CG2503,atms,FBgn0010750,---
1634648_at,CG9077,Cpr47Ec,FBgn0033600,---
1634649_at,CG1560,mys,FBgn0004657,"0006930 // substrate-bound cell migration, cell extension // inferred from genetic interaction /// 0007155 // cell adhesion // inferred from mutant phenotype /// 0007155 // cell adhesion // inferred from electronic annotation /// 0007157 // heterophilic cell adhesion // traceable author statement /// 0007160 // cell-matrix adhesion // inferred from electronic annotation /// 0007160 // cell-matrix adhesion // traceable author statement /// 0007229 // integrin-mediated signaling pathway // inferred from electronic annotation /// 0007391 // dorsal closure // traceable author statement /// 0007411 // axon guidance // inferred from mutant phenotype /// 0007417 // central nervous system development // inferred from mutant phenotype /// 0007426 // tracheal outgrowth, open tracheal system // traceable author statement /// 0007427 // epithelial cell migration, open tracheal system // traceable author statement /// 0007475 // apposition of dorsal and ventral imaginal disc-derived wing surfaces // non-traceable author statement /// 0007494 // midgut development // traceable author statement /// 0007517 // muscle development // inferred from mutant phenotype /// 0007601 // visual perception // inferred from electronic annotation /// 0007608 // sensory perception of smell // inferred from electronic annotation /// 0007610 // behavior // inferred from electronic annotation /// 0007629 // flight behavior // inferred from electronic annotation /// 0008360 // regulation of cell shape // inferred from mutant phenotype /// 0016203 // muscle attachment // traceable author statement /// 0016339 // calcium-dependent cell-cell adhesion // traceable author statement /// 0016340 // calcium-dependent cell-matrix adhesion // inferred from sequence or structural similarity /// 0016477 // cell migration // traceable author statement /// 0035099 // hemocyte migration // inferred from genetic interaction /// 0035160 // maintenance of epithelial integrity, open tracheal system // inferred from mutant phenotype /// 0050896 // response to stimulus // inferred from electronic annotation"
1634650_at,CG11372,galectin,FBgn0031213,---
1634651_at,HDC06801,Acp53C14c,FBgn0053530,---
1634652_a_at,CG7656,CG7656,FBgn0036516,0043687 // post-translational protein modification // inferred from electronic annotation /// 0051246 // regulation of protein metabolic process // inferred from electronic annotation
1634653_a_at,CG1817,Ptp10D,FBgn0004370,0006470 // protein amino acid dephosphorylation // inferred from direct assay /// 0006470 // protein amino acid dephosphorylation // inferred from mutant phenotype /// 0006470 // protein amino acid dephosphorylation // non-traceable author statement /// 0006470 // protein amino acid dephosphorylation // inferred from electronic annotation /// 0016311 // dephosphorylation // inferred from electronic annotation
1634654_at,CG14472,poe,FBgn0011230,0007275 // multicellular organismal development // inferred from electronic annotation /// 0007286 // spermatid development // inferred from mutant phenotype /// 0007291 // sperm individualization // inferred from mutant phenotype /// 0007399 // nervous system development // inferred from electronic annotation /// 0007601 // visual perception // inferred from electronic annotation /// 0030154 // cell differentiation // inferred from electronic annotation /// 0042065 // glial cell growth // inferred from mutant phenotype /// 0042066 // perineurial glial growth // inferred from genetic interaction /// 0042066 // perineurial glial growth // inferred from mutant phenotype /// 0050896 // response to stimulus // inferred from electronic annotation
1634655_at,CG3894,CG3894,FBgn0035059,0007242 // intracellular signaling cascade // inferred from electronic annotation
1634656_s_at,CG33184,mRpL53,FBgn0050481,---
1634657_at,CG5011,CG5011,FBgn0040723,---
1634658_a_at,CG8772,nemy,FBgn0033765,0006541 // glutamine metabolic process // inferred from sequence or structural similarity /// 0006541 // glutamine metabolic process // inferred from electronic annotation /// 0007613 // memory // inferred from mutant phenotype /// 0007626 // locomotory behavior // inferred from mutant phenotype
1634659_at,CG3619,Dl,FBgn0000463,"0001708 // cell fate specification // traceable author statement /// 0001736 // establishment of planar polarity // non-traceable author statement /// 0007015 // actin filament organization // inferred from mutant phenotype /// 0007154 // cell communication // inferred from electronic annotation /// 0007155 // cell adhesion // traceable author statement /// 0007219 // Notch signaling pathway // inferred from genetic interaction /// 0007219 // Notch signaling pathway // inferred from mutant phenotype /// 0007219 // Notch signaling pathway // non-traceable author statement /// 0007219 // Notch signaling pathway // traceable author statement /// 0007219 // Notch signaling pathway // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007298 // border follicle cell migration // inferred from mutant phenotype /// 0007314 // oocyte anterior/posterior axis specification // traceable author statement /// 0007398 // ectoderm development // non-traceable author statement /// 0007398 // ectoderm development // traceable author statement /// 0007399 // nervous system development // non-traceable author statement /// 0007399 // nervous system development // inferred from electronic annotation /// 0007417 // central nervous system development // non-traceable author statement /// 0007419 // ventral cord development // non-traceable author statement /// 0007422 // peripheral nervous system development // inferred from mutant phenotype /// 0007422 // peripheral nervous system development // traceable author statement /// 0007423 // sensory organ development // inferred from mutant phenotype /// 0007424 // open tracheal system development // non-traceable author statement /// 0007451 // dorsal/ventral lineage restriction, imaginal disc // traceable author statement /// 0007460 // R8 cell fate commitment // traceable author statement /// 0007464 // R3/R4 cell fate commitment // non-traceable author statement /// 0007474 // imaginal disc-derived wing vein specification // non-traceable author statement /// 0007475 // apposition of dorsal and ventral imaginal disc-derived wing surfaces // inferred from mutant phenotype /// 0007476 // imaginal disc-derived wing morphogenesis // inferred from mutant phenotype /// 0007480 // imaginal disc-derived leg morphogenesis // inferred from mutant phenotype /// 0007498 // mesoderm development // inferred from mutant phenotype /// 0008347 // glial cell migration // inferred from mutant phenotype /// 0008356 // asymmetric cell division // traceable author statement /// 0008407 // bristle morphogenesis // inferred from mutant phenotype /// 0008586 // imaginal disc-derived wing vein morphogenesis // traceable author statement /// 0016318 // ommatidial rotation // non-traceable author statement /// 0030154 // cell differentiation // inferred from electronic annotation /// 0030707 // ovarian follicle cell development // inferred from mutant phenotype /// 0030707 // ovarian follicle cell development // traceable author statement /// 0030713 // ovarian follicle cell stalk formation // inferred from mutant phenotype /// 0030718 // germ-line stem cell maintenance // inferred from mutant phenotype /// 0030720 // oocyte localization during germarium-derived egg chamber formation // inferred from mutant phenotype /// 0035111 // leg joint morphogenesis // inferred from mutant phenotype /// 0035155 // negative regulation of terminal cell fate specification, open tracheal system // non-traceable author statement /// 0035157 // negative regulation of fusion cell fate specification // non-traceable author statement /// 0035286 // leg segmentation // inferred from mutant phenotype /// 0042067 // establishment of ommatidial polarity // traceable author statement /// 0042676 // compound eye cone cell fate commitment // traceable author statement /// 0045465 // R8 cell differentiation // non-traceable author statement /// 0045468 // regulation of R8 cell spacing in compound eye // non-traceable author statement /// 0046331 // lateral inhibition // inferred from mutant phenotype /// 0046331 // lateral inhibition // non-traceable author statement /// 0046331 // lateral inhibition // traceable author statement /// 0046667 // compound eye retinal cell programmed cell death // traceable author statement /// 0048190 // wing disc dorsal/ventral pattern formation // inferred from mutant phenotype /// 0048477 // oogenesis // inferred from mutant phenotype /// 0048477 // oogenesis // traceable author statement /// 0048749 // compound eye development // traceable author statement /// 0048800 // antennal morphogenesis // inferred from mutant phenotype /// 0048863 // stem cell differentiation // inferred from mutant phenotype /// 0050768 // negative regulation of neurogenesis // inferred from mutant phenotype"
1634660_at,CG3361,mrt,FBgn0039507,0007611 // learning or memory // inferred from mutant phenotype /// 0008355 // olfactory learning // inferred from mutant phenotype
1634661_at,CG32356,ImpE1,FBgn0001253,0007561 // imaginal disc eversion // traceable author statement
1634662_at,CG3360,Cyp313a1,FBgn0038236,0006412 // translation // inferred from electronic annotation /// 0017143 // insecticide metabolic process // non-traceable author statement /// 0055114 // oxidation reduction // inferred from electronic annotation
1634663_at,CG7206,CG7206,FBgn0030892,---
1634664_at,CG18559,Cyp309a2,FBgn0041337,0055114 // oxidation reduction // inferred from electronic annotation
1634665_at,CG33476,CG33476,FBgn0053476,---
1634666_at,Transposon.39,---,---,---
1634667_at,CG11099,CG11099,FBgn0034485,0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation
1634668_at,CG7788,Ice,FBgn0019972,0006508 // proteolysis // inferred from electronic annotation /// 0006508 // proteolysis // traceable author statement /// 0006915 // apoptosis // inferred from electronic annotation /// 0006915 // apoptosis // non-traceable author statement /// 0006915 // apoptosis // traceable author statement /// 0010165 // response to X-ray // inferred from mutant phenotype /// 0012501 // programmed cell death // inferred from mutant phenotype /// 0046668 // regulation of retinal cell programmed cell death // non-traceable author statement /// 0048515 // spermatid differentiation // inferred from mutant phenotype
1634669_at,CG32333,CG32333,FBgn0052333,---
1634670_at,CG33181,CG33181,FBgn0053181,0006812 // cation transport // inferred from electronic annotation
1634671_a_at,CG41284,CG41284,FBgn0085599,---
1634672_at,CG5064,Srp68,FBgn0035947,0006614 // SRP-dependent cotranslational protein targeting to membrane // inferred from sequence or structural similarity
1634673_at,CG40402,CG40402,FBgn0058402,---
1634674_at,CG9989,CG9989,FBgn0039593,---
1634675_s_at,CG3774,CG3774,FBgn0029849,0006810 // transport // inferred from electronic annotation /// 0008643 // carbohydrate transport // inferred from electronic annotation /// 0015788 // UDP-N-acetylglucosamine transport // inferred from sequence or structural similarity /// 0015790 // UDP-xylose transport // inferred from sequence or structural similarity
1634676_at,HDC19804,---,---,---
1634677_at,CG34145,CG34145,FBgn0083981,"0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation"
1634678_at,CG13108,CG13108,FBgn0032100,---
1634679_at,CG33980,CG33980,FBgn0053980,"0006355 // regulation of transcription, DNA-dependent // inferred from sequence or structural similarity /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0045449 // regulation of transcription // inferred from electronic annotation"
1634680_at,HDC09480,---,---,---
1634681_a_at,CG18340,Ucp4B,FBgn0031758,0006810 // transport // inferred from electronic annotation /// 0006839 // mitochondrial transport // inferred from electronic annotation /// 0015992 // proton transport // inferred from sequence or structural similarity
1634682_at,HDC20067,---,---,---
1634683_at,CG12399,Mad,FBgn0011648,"0006350 // transcription // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006357 // regulation of transcription from RNA polymerase II promoter // inferred from sequence or structural similarity /// 0006357 // regulation of transcription from RNA polymerase II promoter // non-traceable author statement /// 0007179 // transforming growth factor beta receptor signaling pathway // inferred from genetic interaction /// 0007179 // transforming growth factor beta receptor signaling pathway // non-traceable author statement /// 0007179 // transforming growth factor beta receptor signaling pathway // traceable author statement /// 0007179 // transforming growth factor beta receptor signaling pathway // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007391 // dorsal closure // non-traceable author statement /// 0007424 // open tracheal system development // traceable author statement /// 0007476 // imaginal disc-derived wing morphogenesis // inferred from mutant phenotype /// 0007480 // imaginal disc-derived leg morphogenesis // inferred from mutant phenotype /// 0007507 // heart development // traceable author statement /// 0008586 // imaginal disc-derived wing vein morphogenesis // inferred from mutant phenotype /// 0030707 // ovarian follicle cell development // inferred from mutant phenotype /// 0030707 // ovarian follicle cell development // traceable author statement /// 0030718 // germ-line stem cell maintenance // inferred from mutant phenotype /// 0035019 // somatic stem cell maintenance // inferred from mutant phenotype /// 0042078 // germ-line stem cell division // inferred from mutant phenotype /// 0042078 // germ-line stem cell division // traceable author statement /// 0045705 // negative regulation of salivary gland boundary specification // traceable author statement /// 0045749 // negative regulation of S phase of mitotic cell cycle // inferred from mutant phenotype /// 0045887 // positive regulation of synaptic growth at neuromuscular junction // inferred from mutant phenotype /// 0048100 // wing disc anterior/posterior pattern formation // inferred from mutant phenotype"
1634684_at,CG7272,CG7272,FBgn0036501,---
1634685_at,CG4863,RpL3,FBgn0020910,0000022 // mitotic spindle elongation // inferred from mutant phenotype /// 0006412 // translation // inferred from sequence or structural similarity /// 0006412 // translation // non-traceable author statement /// 0006412 // translation // inferred from electronic annotation /// 0007052 // mitotic spindle organization // inferred from mutant phenotype
1634686_at,CG9109,CG9109,FBgn0031765,---
1634687_at,CG15019,CG15019,FBgn0035541,---
1634688_at,CG7980,RabX5,FBgn0035255,0007264 // small GTPase mediated signal transduction // inferred from electronic annotation
1634689_at,HDC17644,---,---,---
1634690_at,CG13345,tum,FBgn0086356,0000910 // cytokinesis // inferred from mutant phenotype /// 0007052 // mitotic spindle organization // inferred from mutant phenotype /// 0007165 // signal transduction // inferred from electronic annotation /// 0007242 // intracellular signaling cascade // inferred from electronic annotation /// 0007266 // Rho protein signal transduction // inferred from genetic interaction /// 0008283 // cell proliferation // inferred from genetic interaction /// 0030178 // negative regulation of Wnt receptor signaling pathway // inferred from genetic interaction /// 0030178 // negative regulation of Wnt receptor signaling pathway // inferred from mutant phenotype /// 0032507 // maintenance of protein location in cell // inferred from mutant phenotype /// 0048666 // neuron development // inferred from mutant phenotype /// 0048813 // dendrite morphogenesis // inferred from mutant phenotype
1634691_a_at,CG30020,CG30020,FBgn0050020,---
1634692_at,CG18336,CG18336,FBgn0040763,---
1634693_at,CG5122,CG5122,FBgn0032471,---
1634694_at,CG12169,Ppm1,FBgn0035143,0006470 // protein amino acid dephosphorylation // inferred from electronic annotation /// 0006470 // protein amino acid dephosphorylation // non-traceable author statement
1634695_at,CG2684,lds,FBgn0002542,"0006350 // transcription // inferred from electronic annotation /// 0006353 // transcription termination // inferred from direct assay /// 0006353 // transcription termination // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 0006369 // termination of RNA polymerase II transcription // inferred from sequence or structural similarity"
1634696_at,CG6958,Nup133,FBgn0039004,0006006 // glucose metabolic process // inferred from electronic annotation /// 0006913 // nucleocytoplasmic transport // inferred from electronic annotation /// 0050658 // RNA transport // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
1634697_at,CG32667,CG32667,FBgn0052667,---
1634698_at,HDC20135,---,---,---
1634699_a_at,CG18003,CG18003,FBgn0061356,0007031 // peroxisome organization // inferred from sequence or structural similarity /// 0008152 // metabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
1634700_at,CG8258,CG8258,FBgn0033342,0006457 // protein folding // inferred from sequence or structural similarity /// 0006457 // protein folding // inferred from electronic annotation /// 0044267 // cellular protein metabolic process // inferred from electronic annotation
1634701_at,CG3713,CG3713,FBgn0040343,---
1634702_at,CG7227,CG7227,FBgn0031970,0006952 // defense response // non-traceable author statement /// 0007155 // cell adhesion // inferred from electronic annotation
1634703_at,HDC18326,---,---,---
1634704_at,CG1886,ATP7,FBgn0030343,0002164 // larval development // inferred from mutant phenotype /// 0006754 // ATP biosynthetic process // inferred from electronic annotation /// 0006825 // copper ion transport // inferred from mutant phenotype /// 0006825 // copper ion transport // inferred from electronic annotation /// 0006878 // cellular copper ion homeostasis // inferred from mutant phenotype /// 0008152 // metabolic process // inferred from electronic annotation /// 0030001 // metal ion transport // inferred from electronic annotation /// 0048066 // pigmentation during development // inferred from mutant phenotype /// 0048085 // adult chitin-containing cuticle pigmentation // inferred from mutant phenotype
1634705_at,CG10341,CG10341,FBgn0032701,0006364 // rRNA processing // inferred from electronic annotation /// 0042254 // ribosome biogenesis // inferred from electronic annotation /// 0042254 // ribosome biogenesis // inferred from sequence or structural similarity
1634706_at,Dm.X.58337.0,---,---,---
1634707_s_at,CG12449,Gfat1,FBgn0027341,0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0016051 // carbohydrate biosynthetic process // inferred from electronic annotation
1634708_s_at,HDC09144,---,---,---
1634709_at,CG12402,CG12402,FBgn0038202,---
1634710_at,HDC07421,---,---,---
1634711_at,HDC06974,---,---,---
1634712_s_at,CG5020,CLIP-190,FBgn0020503,0007017 // microtubule-based process // inferred from sequence or structural similarity /// 0007349 // cellularization // inferred from mutant phenotype
1634713_at,CG5532,CG5532,FBgn0034902,---
1634714_at,CG1676,cactin,FBgn0031114,0006952 // defense response // non-traceable author statement /// 0007165 // signal transduction // non-traceable author statement /// 0009950 // dorsal/ventral axis specification // inferred from genetic interaction
1634715_at,S.C2R002294,---,---,---
1634716_s_at,CG32843,CG32843,FBgn0052843,0007165 // signal transduction // inferred from electronic annotation /// 0007166 // cell surface receptor linked signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from sequence or structural similarity
1634717_at,CG17580,CG17580,FBgn0040755,---
1634718_at,CG7963,CG7963,FBgn0037584,---
1634719_at,CG9920,CG9920,FBgn0038200,0006457 // protein folding // inferred from sequence or structural similarity /// 0006457 // protein folding // inferred from electronic annotation /// 0006458 // 'de novo' protein folding // inferred from sequence or structural similarity
1634720_at,CG11151,CG11151,FBgn0030519,0008152 // metabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
1634721_at,CG40444,kl-5,FBgn0001315,0006508 // proteolysis // inferred from electronic annotation /// 0007018 // microtubule-based movement // inferred from electronic annotation /// 0007018 // microtubule-based movement // inferred from sequence or structural similarity
1634722_s_at,CG4143,mbf1,FBgn0026208,0007417 // central nervous system development // inferred from genetic interaction /// 0007417 // central nervous system development // inferred from mutant phenotype /// 0007424 // open tracheal system development // inferred from genetic interaction /// 0007424 // open tracheal system development // inferred from mutant phenotype /// 0048813 // dendrite morphogenesis // inferred from mutant phenotype
1634723_at,CG14280,CG14280,FBgn0038695,---
1634724_at,CG12499,CG12499,FBgn0038968,---
1634725_at,CG10152,beat-IV,FBgn0039089,---
1634726_s_at,CG18478,CG18478,FBgn0028517,0006508 // proteolysis // inferred from electronic annotation
1634727_a_at,CG5785,thr,FBgn0003701,0000070 // mitotic sister chromatid segregation // non-traceable author statement /// 0000070 // mitotic sister chromatid segregation // traceable author statement /// 0002009 // morphogenesis of an epithelium // inferred from mutant phenotype /// 0007049 // cell cycle // inferred from electronic annotation /// 0007052 // mitotic spindle organization // inferred from mutant phenotype /// 0007067 // mitosis // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007422 // peripheral nervous system development // inferred from mutant phenotype /// 0007424 // open tracheal system development // inferred from mutant phenotype /// 0007440 // foregut morphogenesis // inferred from mutant phenotype /// 0007442 // hindgut morphogenesis // inferred from mutant phenotype /// 0007443 // Malpighian tubule morphogenesis // inferred from mutant phenotype /// 0008258 // head involution // inferred from mutant phenotype /// 0051301 // cell division // inferred from electronic annotation /// 0051533 // positive regulation of NFAT protein import into nucleus // inferred from mutant phenotype
1634728_at,CG17821,CG17821,FBgn0034383,---
1634729_at,CG10563,l(2)37Cd,FBgn0086445,"0006911 // phagocytosis, engulfment // inferred from mutant phenotype"
1634730_s_at,HDC08496,---,---,---
1634731_at,CG10843,Cyp4p3,FBgn0033397,0055114 // oxidation reduction // inferred from electronic annotation
1634732_at,S.C3R000629,---,---,---
1634733_at,CG3831,CG3831,FBgn0034804,---
1634734_at,CG12636,CG12636,FBgn0028854,---
1634735_at,S.C2R000911,---,---,---
1634736_at,CG9325,hts,FBgn0004873,"0000212 // meiotic spindle organization // inferred from mutant phenotype /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007282 // cystoblast division // inferred from mutant phenotype /// 0007294 // germarium-derived oocyte fate determination // traceable author statement /// 0008302 // ring canal formation, actin assembly // inferred from mutant phenotype /// 0008302 // ring canal formation, actin assembly // non-traceable author statement /// 0008302 // ring canal formation, actin assembly // traceable author statement /// 0030154 // cell differentiation // inferred from electronic annotation /// 0030721 // spectrosome organization // traceable author statement /// 0030723 // ovarian fusome organization // inferred from mutant phenotype /// 0030724 // testicular fusome organization // inferred from mutant phenotype /// 0045478 // fusome organization // traceable author statement /// 0048134 // germ-line cyst formation // traceable author statement /// 0048135 // female germ-line cyst formation // traceable author statement /// 0048477 // oogenesis // inferred from electronic annotation /// 0051297 // centrosome organization // inferred from mutant phenotype"
1634737_at,CG12753,CG12753,FBgn0038427,---
1634738_s_at,CG31751,CG31751,FBgn0086909,---
1634739_a_at,CG4001,Pfk,FBgn0003071,0006096 // glycolysis // inferred from electronic annotation /// 0006096 // glycolysis // non-traceable author statement
1634740_at,CG12175,tth,FBgn0030502,"0006911 // phagocytosis, engulfment // inferred from mutant phenotype"
1634741_at,Dm.3L.25873.0,---,---,---
1634742_at,CG4649,Sodh-2,FBgn0022359,0008152 // metabolic process // inferred from electronic annotation /// 0055114 // oxidation reduction // inferred from electronic annotation
1634743_at,CG15292,CG15292,FBgn0040977,---
1634744_at,HDC06266,---,---,---
1634745_at,S.CX002319,---,---,---
1634746_at,CG3589,CG3589,FBgn0035065,0006508 // proteolysis // inferred from electronic annotation
1634747_at,Dm.2L.1733.0,Ddr,FBgn0053531,0006468 // protein amino acid phosphorylation // non-traceable author statement /// 0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0007155 // cell adhesion // inferred from electronic annotation /// 0007169 // transmembrane receptor protein tyrosine kinase signaling pathway // inferred from sequence or structural similarity
1634748_at,CG2711,dwg,FBgn0000520,---
1634749_a_at,CG32686,CG32686,FBgn0052686,---
1634750_at,CG34033,CG34033,FBgn0054033,---
1634751_at,HDC11843,---,---,---
1634752_a_at,CG14085,CG14085,FBgn0036859,---
1634753_at,CG5327,CG5327,FBgn0034363,---
1634754_at,CG12462,CG12462,FBgn0086899,0006468 // protein amino acid phosphorylation // inferred from electronic annotation
1634755_at,CG31053,CG31053,FBgn0051053,---
1634756_at,CG12414,nAcRalpha-80B,FBgn0037212,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation
1634757_a_at,CG16747,Oda,FBgn0014184,0007275 // multicellular organismal development // inferred from electronic annotation /// 0030154 // cell differentiation // non-traceable author statement
1634758_at,CG34393,CG34393,FBgn0085422,0007264 // small GTPase mediated signal transduction // inferred from electronic annotation /// 0051056 // regulation of small GTPase mediated signal transduction // inferred from electronic annotation
1634759_at,HDC09939,---,---,---
1634760_at,HDC15625,---,---,---
1634761_at,CG9472,CG9472,FBgn0036874,0006816 // calcium ion transport // inferred from sequence or structural similarity
1634762_a_at,CG15096,CG15096,FBgn0034394,0006810 // transport // inferred from electronic annotation
1634763_at,CG3769,CG3769,FBgn0032119,---
1634764_at,CG3661,RpL23,FBgn0010078,0000022 // mitotic spindle elongation // inferred from mutant phenotype /// 0006412 // translation // inferred from sequence or structural similarity /// 0006412 // translation // non-traceable author statement /// 0006412 // translation // inferred from electronic annotation /// 0007052 // mitotic spindle organization // inferred from mutant phenotype
